Track,Time
Mario Kart Stadium,1:40.243
Water Park,1:44.130
Sweet Sweet Canyon,1:53.087
Thwomp Ruins,1:54.577
Mario Circuit,1:47.703
Toad Harbor,2:09.233
Twisted Mansion,1:59.570
Shy Guy Falls,2:02.299
Sunshine Airport,2:01.819
Dolphin Shoals,1:59.241
Electrodrome,2:02.409
Mount Wario,1:47.136
Cloudtop Cruise,2:05.630
Bone-Dry Dunes,1:53.431
Bowser's Castle,2:03.673
Rainbow Road,2:03.855
Wii Moo Moo Meadows,1:28.366
GBA Mario Circuit,1:27.451
DS Cheep Cheep Beach,1:52.675
N64 Toad's Turnpike,1:51.993
GCN Dry Dry Desert,1:59.001
SNES Donut Plains 3,1:17.737
N64 Royal Raceway,2:02.168
3DS DK Jungle,2:06.860
DS Wario Stadium,1:56.253
GCN Sherbet Land,1:53.560
3DS Music Park,1:57.995
N64 Yoshi Valley,2:04.726
DS Tick-Tock Clock,1:48.976
3DS Piranha Plant Slide,2:04.593
Wii Grumble Volcano,1:58.734
N64 Rainbow Road,1:21.919
GCN Yoshi Circuit,1:47.572
Excitebike Arena,1:46.145
Dragon Driftway,1:46.179
Mute City,1:57.879
Wii Wario's Gold Mine,2:04.955
SNES Rainbow Road,1:30.949
Ice Ice Outpost,1:51.656
Hyrule Circuit,1:51.416
GCN Baby Park,1:04.844
GBA Cheese Land,1:48.569
Wild Woods,1:52.076
Animal Crossing,1:41.570
3DS Neo Bowser City,1:48.139
GBA Ribbon Road,1:50.932
Super Bell Subway,1:45.627
Big Blue,1:26.399
Tour Paris Promenade,1:54.017
3DS Toad Circut,1:24.698
N64 Choco Mountain,1:56.530
Wii Coconut Mall,1:47.013
Tour Tokyo Blur,1:29.435
DS Shroom Ridge,1:51.554
GBA Sky Garden,1:30.851
Ninja Hideaway,1:57.582
Tour New York Minute,1:27.310
SNES Mario Circuit 3,1:36.770
N64 Kalimari Desert,1:33.978
DS Waluigi Pinball,2:25.361
Tour Sydney Sprint,2:05.596
GBA Snow Land,1:30.811
Wii Mushroom Gorge,1:32.642
Sky-High Sundae,1:57.949
Tour London Loop,2:13.344
GBA Boo Lake,1:25.817
3DS Rock Rock Mountain,2:12.435
Wii Maple Treeway,2:28.497
Tour Berlin Byways,2:03.075
DS Peach Gardens,2:08.270
Merry Mountain,1:56.469
3DS Rainbow Road,1:42.460
Tour Amsterdam Drift,1:40.459
GBA Riverside Park,1:30.654
Wii DK Summit,2:02.758
Yoshi's Island,2:04.272
Tour Bangkok Rush,1:47.856
DS Mario Circuit,1:42.972
GCN Waluigi Stadium,2:00.987
Tour Singapore Speedway,2:02.402
Tour Athens Dash,1:44.300
GCN Daisy Cruiser,1:36.803
Wii Moonview Highway,1:46.181
Squeaky Clean Sprint,2:07.484
Tour Los Angeles Laps,1:50.441
GBA Sunset Wilds,1:35.566
Wii Koopa Cape,2:00.897
Tour Vancouver Velocity,2:06.452
Tour Rome Avanti,1:47.870
GCN DK Mountain,2:16.364
Wii Daisy Circuit,1:50.441
Piranha Plant Cove,2:04.800
Tour Madrid Drive,2:02.287
3DS Rosalina's Ice World,2:03.218
SNES Bowser Castle 3,1:47.286
Wii Rainbow Road,2:36.770
