Track, Time
Mario Kart Stadium,1:33.966
Water Park,1:38.995
Sweet Sweet Canyon,1:47.996
Thwomp Ruins,1:47.080
Mario Circuit,1:43.723
Toad Harbor,2:01.498
Twisted Mansion,1:53.210
Shy Guy Falls,1:55.171
Sunshine Airport,1:56.971
Dolphin Shoals,1:51.951
Electrodrome,1:55.086
Mount Wario,1:40.545
Cloudtop Cruise,1:59.262
Bone-Dry Dunes,1:46.382
Bowser's Castle,1:57.655
Rainbow Road,1:58.302
Wii Moo Moo Meadows,1:23.402
GBA Mario Circuit,1:22.860
DS Cheep Cheep Beach,1:46.080
N64 Toad's Turnpike,1:45.563
GCN Dry Dry Desert,1:51.955
SNES Donut Plains 3,1:12.599
N64 Royal Raceway,1:54.652
3DS DK Jungle,1:59.979
DS Wario Stadium,1:49.988
GCN Sherbet Land,1:46.298
3DS Music Park,1:50.170
N64 Yoshi Valley,1:57.482
DS Tick-Tock Clock,1:40.997
3DS Piranha Plant Slide,1:57.960
Wii Grumble Volcano,1:52.441
N64 Rainbow Road,1:19.196
GCN Yoshi Circuit,1:41.253
Excitebike Arena,1:38.409
Dragon Driftway,1:39.969
Mute City,1:50.788
Wii Wario's Gold Mine,2:01.373
SNES Rainbow Road,1:25.569
Ice Ice Outpost,1:44.242
Hyrule Circuit,1:46.665
GCN Baby Park,1:01.836
GBA Cheese Land,1:41.432
Wild Woods,1:45.183
Animal Crossing,1:35.772
3DS Neo Bowser City,1:42.158
GBA Ribbon Road,1:43.328
Super Bell Subway,1:39.567
Big Blue,1:22.990
Tour Paris Promenade,1:49.376
3DS Toad Circuit,1:19.900
N64 Choco Mountain,1:51.173
Wii Coconut Mall,1:40.464
Tour Tokyo Blur,1:25.014
DS Shroom Ridge,1:44.094
GBA Sky Garden,1:25.831
Tour Ninja Hideaway,1:51.548
Tour New York Minute,1:21.888
SNES Mario Circuit 3,1:30.525
N64 Kalimari Desert,1:27.642
DS Waluigi Pinball,2:18.411
Tour Sydney Sprint,1:59.098
GBA Snow Land,1:25.971
Wii Mushroom Gorge,1:26.945
Sky-High Sundae,1:53.474
Tour London Loop,2:06.412
GBA Boo Lake,1:20.138
3DS Rock Rock Mountain,2:06.997
Wii Maple Treeway,2:22.430
Tour Berlin Byways,1:55.207
DS Peach Gardens,2:02.140
Tour Merry Mountain,1:49.279
3DS Rainbow Road,1:36.718
Tour Amsterdam Drift,1:34.766
GBA Riverside Park,1:24.962
Wii DK Summit,1:54.801
Yoshi's Island,1:56.594
Tour Bangkok Rush,1:41.889
DS Mario Circuit,1:36.663
GCN Waluigi Stadium,1:53.003
Tour Singapore Speedway,1:55.666
Tour Athens Dash,1:37.508
GCN Daisy Cruiser,1:33.883
Wii Moonview Highway,1:41.918
Squeaky Clean Sprint,1:59.569
Tour Los Angeles Laps,1:45.261
GBA Sunset Wilds,1:32.261
Wii Koopa Cape,1:56.406
Tour Vancouver Velocity,1:58.535
Tour Rome Avanti,1:43.117
GCN DK Mountain,2:08.612
Wii Daisy Circuit,1:47.664
Tour Piranha Plant Cove,1:56.941
Tour Madrid Drive,1:55.675
3DS Rosalina's Ice World,1:55.742
SNES Bowser Castle 3,1:39.827
Wii Rainbow Road,2:31.276
Total:,168:53.163
