Mario Kart Stadium,1:06.993
Water Park,1:10.430
Sweet Sweet Canyon,1:20.698
Thwomp Ruins,1:15.654
Mario Circuit,1:12.662
Toad Harbor,1:25.995
Twisted Mansion,1:21.982
Shy Guy Falls,1:25.763
Sunshine Airport,1:27.796
Dolphin Shoals,1:21.899
Electrodrome,1:21.669
Mount Wario,1:14.991
Cloudtop Cruise,1:28.709
Bone-Dry Dunes,1:19.265
Bowser's Castle,1:25.568
Rainbow Road,1:31.433
Wii Moo Moo Meadows,0:58.418
GBA Mario Circuit,0:59.892
DS Cheep Cheep Beach,1:15.292
N64 Toad's Turnpike,1:12.049
GCN Dry Dry Desert,1:16.879
SNES Donut Plains 3,0:55.241
N64 Royal Raceway,1:23.314
3DS DK Jungle,1:26.992
DS Wario Stadium,1:21.128
GCN Sherbet Land,1:16.130
3DS Music Park,1:23.309
N64 Yoshi Valley,1:23.992
DS Tick-Tock Clock,1:12.658
3DS Piranha Plant Slide,1:25.984
Wii Grumble Volcano,1:21.095
N64 Rainbow Road,0:56.335
GCN Yoshi Circuit,1:12.924
Excitebike Arena,1:13.803
Dragon Driftway,1:15.957
Mute City,1:20.588
Wii Wario's Gold Mine,1:24.805
SNES Rainbow Road,1:01.785
Ice Ice Outpost,1:16.684
Hyrule Circuit,1:19.631
GCN Baby Park,0:44.731
GBA Cheese Land,1:14.917
Wild Woods,1:16.162
Animal Crossing,1:10.369
3DS Neo Bowser City,1:18.871
GBA Ribbon Road,1:16.949
Super Bell Subway,1:12.691
Big Blue,1:00.361
Tour Paris Promenade,1:16.534
3DS Toad Circuit,0:56.322
N64 Choco Mountain,1:19.651
Wii Coconut Mall,1:13.559
Tour Tokyo Blur,0:58.852
DS Shroom Ridge,1:15.049
GBA Sky Garden,1:01.722
Tour Ninja Hideaway,1:23.958
Tour New York Minute,0:58.083
SNES Mario Circuit 3,1:04.188
N64 Kalimari Desert,1:00.849
DS Waluigi Pinball,1:45.359
Tour Sydney Sprint,1:24.349
GBA Snow Land,1:04.028
Wii Mushroom Gorge,1:01.336
Sky-High Sundae,1:19.391
Tour London Loop,1:28.496
GBA Boo Lake,0:59.359
3DS Rock Rock Mountain,1:27.316
Wii Maple Treeway,1:48.764
Tour Berlin Byways,1:21.768
DS Peach Gardens,1:25.790
Tour Merry Mountain,1:17.916
3DS Rainbow Road,1:09.378
Tour Amsterdam Drift,1:06.568
GBA Riverside Park,1:02.066
Wii DK Summit,1:30.865
Yoshi's Island,1:25.494
Tour Bangkok Rush,1:12.813
DS Mario Circuit,1:10.544
GCN Waluigi Stadium,1:24.931
Tour Singapore Speedway,1:20.774
Tour Athens Dash,1:10.609
GCN Daisy Cruiser,1:08.203
Wii Moonview Highway,1:11.672
Squeaky Clean Sprint,1:25.138
Tour Los Angeles Laps,1:14.019
GBA Sunset Wilds,1:07.131
Wii Koopa Cape,1:24.632
Tour Vancouver Velocity,1:23.897
Tour Rome Avanti,1:13.929
GCN DK Mountain,1:44.114
Wii Daisy Circuit,1:16.064
Tour Piranha Plant Cove,1:23.616
Tour Madrid Drive,1:22.248
3DS Rosalina's Ice World,1:25.172
SNES Bowser Castle 3,1:13.223
Wii Rainbow Road,1:50.678
