1,Mushroom,Nitro,Mario Kart Stadium,MKS
2,Mushroom,Nitro,Water Park,WP
3,Mushroom,Nitro,Sweet Sweet Canyon,SSC
4,Mushroom,Nitro,Thwomp Ruins,TR
5,Flower,Nitro,Mario Circuit,MC
6,Flower,Nitro,Toad Harbor,TH
7,Flower,Nitro,Twisted Mansion,TM
8,Flower,Nitro,Shy Guy Falls,SGF
9,Star,Nitro,Sunshine Airport,SA
10,Star,Nitro,Dolphin Shoals,DS
11,Star,Nitro,Electrodrome,ED
12,Star,Nitro,Mount Wario,MW
13,Special,Nitro,Cloudtop Cruise,CC
14,Special,Nitro,Bone-Dry Dunes,BDD
15,Special,Nitro,Bowser's Castle,BC
16,Special,Nitro,Rainbow Road,RR
17,Shell,Retro,Wii Moo Moo Meadows,rMMM
18,Shell,Retro,GBA Mario Circuit,rMC
19,Shell,Retro,DS Cheep Cheep Beach,rCCB
20,Shell,Retro,N64 Toad's Turnpike,rTT
21,Banana,Retro,GCN Dry Dry Desert,rDDD
22,Banana,Retro,SNES Donut Plains 3,rDP3
23,Banana,Retro,N64 Royal Raceway,rRRy
24,Banana,Retro,3DS DK Jungle,rDKJ
25,Leaf,Retro,DS Wario Stadium,rWS
26,Leaf,Retro,GCN Sherbet Land,rSL
27,Leaf,Retro,3DS Music Park,rMP
28,Leaf,Retro,N64 Yoshi Valley,rYV
29,Lightning,Retro,DS Tick-Tock Clock,rTTC
30,Lightning,Retro,3DS Piranha Plant Slide,rPPS
31,Lightning,Retro,Wii Grumble Volcano,rGV
32,Lightning,Retro,N64 Rainbow Road,rRRd
33,Egg,DLC,GCN Yoshi Circuit,dYC
34,Egg,DLC,Excitebike Arena,dEA
35,Egg,DLC,Dragon Driftway,dDD
36,Egg,DLC,Mute City,dMC
37,Crossing,DLC,Wii Wario's Gold Mine,dWGM
38,Crossing,DLC,SNES Rainbow Road,dRR
39,Crossing,DLC,Ice Ice Outpost,dIIO
40,Crossing,DLC,Hyrule Circuit,dHC
41,Triforce,DLC,GCN Baby Park,dBP
42,Triforce,DLC,GBA Cheese Land,dCL
43,Triforce,DLC,Wild Woods,dWW
44,Triforce,DLC,Animal Crossing,dAC
45,Bell,DLC,3DS Neo Bowser City,dNBC
46,Bell,DLC,GBA Ribbon Road,dRiR
47,Bell,DLC,Super Bell Subway,dSBS
48,Bell,DLC,Big Blue,dBB
49,Golden Dash,BCP,Tour Paris Promenade,bPP
50,Golden Dash,BCP,3DS Toad Circut,bTC
51,Golden Dash,BCP,N64 Choco Mountain,bCMo
52,Golden Dash,BCP,Wii Coconut Mall,bCMa
53,Lucky Cat,BCP,Tour Tokyo Blur,bTB
54,Lucky Cat,BCP,DS Shroom Ridge,bSR
55,Lucky Cat,BCP,GBA Sky Garden,bSG
56,Lucky Cat,BCP,Ninja Hideaway,bNH
57,Turnip,BCP,Tour New York Minute,bNYM
58,Turnip,BCP,SNES Mario Circuit 3,bMC3
59,Turnip,BCP,N64 Kalimari Desert,bKD
60,Turnip,BCP,DS Waluigi Pinball,bWP
61,Propeller,BCP,Tour Sydney Sprint,bSS
62,Propeller,BCP,GBA Snow Land,bSL
63,Propeller,BCP,Wii Mushroom Gorge,bMG
64,Propeller,BCP,Sky-High Sundae,bSHS
65,Rock,BCP,Tour London Loop,bLL
66,Rock,BCP,GBA Boo Lake,bBL
67,Rock,BCP,3DS Rock Rock Mountain,bRRM
68,Rock,BCP,Wii Maple Treeway,bMT
69,Moon,BCP,Tour Berlin Byways,bBB
70,Moon,BCP,DS Peach Gardens,bPG
71,Moon,BCP,Merry Mountain,bMM
72,Moon,BCP,3DS Rainbow Road,bRR7
73,Fruit,BCP,Tour Amsterdam Drift,bAD
74,Fruit,BCP,GBA Riverside Park,bRP
75,Fruit,BCP,Wii DK Summit,bDKS
76,Fruit,BCP,Yoshi's Island,bYI
77,Boomerang,BCP,Tour Bangkok Rush,bBR
78,Boomerang,BCP,DS Mario Circuit,bMC
79,Boomerang,BCP,GCN Waluigi Stadium,bWS
80,Boomerang,BCP,Tour Singapore Speedway,bSSy
81,Feather,BCP,Tour Athens Dash,bAtD
82,Feather,BCP,GCN Daisy Cruiser,bDC
83,Feather,BCP,Wii Moonview Highway,bMH
84,Feather,BCP,Squeaky Clean Sprint,bSCS
85,Cherry,BCP,Tour Los Angeles Laps,bLAL
86,Cherry,BCP,GBA Sunset Wilds,bSW
87,Cherry,BCP,Wii Koopa Cape,bKC
88,Cherry,BCP,Tour Vancouver Velocity,bVV
89,Acorn,BCP,Tour Rome Avanti,bRA
90,Acorn,BCP,GCN DK Mountain,bDKM
91,Acorn,BCP,Wii Daisy Circuit,bDCt
92,Acorn,BCP,Piranha Plant Cove,bPPC
93,Spiny,BCP,Tour Madrid Drive,bMD
94,Spiny,BCP,3DS Rosalina's Ice World,bRIW
95,Spiny,BCP,SNES Bowser Castle 3,bBC3
96,Spiny,BCP,Wii Rainbow Road,bRRw
